Track Name,Album Name,Artist Name(s),Record Label
Dreams Tonite,Antisocialites,Alvvays,Transgressive
It's Real,Days,Real Estate,Domino Recording Co
Boyfriend,Crazy For You,Best Coast,Wichita Recordings
Lemon Glow,7,Beach House,Bella Union
17,The Year of Hibernation,Youth Lagoon,Fat Possum
Guru,Coast Modern,Coast Modern,+1 Records
Greek Tragedy,Glitterbug (Deluxe Edition),The Wombats,Bright Antenna
This Must Be The Place,Sure Sure,Sure Sure,Sure Sure
Go Outside,Cults,Cults,ITNO/Columbia
Sun,Beacon,Two Door Cinema Club,Glassnote Entertainment Group LLC
T-Shirt Weather,Young Chasers,Circa Waves,EMI
Sweet Child O Mine,Captain Fantastic (Original Motion Picture Soundtrack),Viggo Mortensen;George MacKay;Samantha Isler;Annalise Basso;Nicholas Hamilton;Kirk Ross;Philip Klein,Lakeshore Records
Somebody Told Me,Hot Fuss,The Killers,Island Records
Dancing in the Moonlight,Dancing in the Moonlight,King Harvest,Darbo Music LLC
The Rythm of the Night,Best of Dance Disco Music Hits 80's 90's. La Mejor Música Dance Y Disco De Los 80 90,Gliese,Gliese
Sun Was High (So Was I),Photojournalist b/w Sun Was High (So Was I),Small Black,Jagjaguwar
Real Raver,Real Raver,TS7;Slick Don,TS7
Bulletproof,La Roux,La Roux,Polydor Records
Hunnybee,Sex & Food,Unknown Mortal Orchestra,Jagjaguwar
Kyoto,Punisher,Phoebe Bridgers,Dead Oceans
Lost In Yesterday,The Slow Rush,Tame Impala,Universal Music Australia Pty. Ltd.
Tieduprightnow,Tieduprightnow,Parcels,Because Music
Origins,Young & Old,Tennis,Fat Possum Records
Go Down on You,Love Is the Law,The Memories,Gnar Tapes
Lysergic Bliss,Satanic Panic In The Attic,of Montreal,Polyvinyl Records
Lucky,Water,Dehd,Fire Talk
Best Supporting Actor,Basketball Breakups,Good Morning,Virgin Music Label And Artist Services Australia (P&D)
Clay Pigeons,True That,Michael Cera,Michael Cera
Chateau (Feel Alright),Twenty Twenty,Djo,Djo
Midlife Crisis,Angel Dust (Deluxe Edition),Faith No More,WM UK
Anne's Song,Introduce Yourself,Faith No More,Rhino/London-Sire
Mr. Jones,August And Everything After,Counting Crows,DGC
Brand New Key,Beautiful People: The Greatest Hits of Melanie,Melanie,Buddha Records
7/4 (Shoreline),Broken Social Scene,Broken Social Scene,Arts & Crafts
Luna Estupenda,Buttertones,The Buttertones,LOLIPOP RECORDS
Young Folks,Writer's Block,Peter Bjorn and John,Almost Gold Recordings
Somebody to Love,Surrealistic Pillow,Jefferson Airplane,RCA/BMG Heritage
White Rabbit,Surrealistic Pillow,Jefferson Airplane,RCA/BMG Heritage
High Flying Bird,Jefferson Airplane Takes Off,Jefferson Airplane,RCA/BMG Heritage
"Steady, As She Goes",Broken Boy Soldiers,The Raconteurs,
What Once Was,Songs of Her's,Her's,Heist Or Hit Records
Kilby Girl,When We Were Friends,The Backseat Lovers,The Backseat Lovers
New Flesh,Wild Heart,Current Joys,Current Joys
Ribs,Pure Heroine (Extended),Lorde,Universal Music New Zealand Limited
Freakin' Out On the Interstate,Carnival,Briston Maroney,Canvasback
Out of My League,Out of My League,Fitz and The Tantrums,Elektra (NEK)
By Your Side,Yesterday Park,ISLAND,Frenchkiss Records
Joy To The World,Naturally,Three Dog Night,Geffen*
You Sexy Thing,Hot Chocolate,Hot Chocolate,Parlophone UK
Vacation Bible School,Vacation Bible School,Ayesha Erotica,AE
3/5 of a Mile in 10 Seconds,Surrealistic Pillow,Jefferson Airplane,RCA/BMG Heritage
How Do You Feel,Surrealistic Pillow,Jefferson Airplane,RCA/BMG Heritage
Sun Is Shining,Kaya,Bob Marley & The Wailers,Island Records
The Modern Age,Is This It,The Strokes,RCA Records Label
The Mono-Tones,Chip Chrome & The Mono-Tones (Deluxe),The Neighbourhood,Columbia
When U Love Somebody,Mouthfuls,Fruit Bats,Sub Pop Records
Need Your Love,Swimmer,Tennis,Mutually Detrimental
Oh Ana,Touch Up,Mother Mother,Last Gang
Wrecking Ball,O My Heart,Mother Mother,Last Gang
Canyon Moon,Fine Line,Harry Styles,Columbia
June,June,Inner Wave,Inner Wave
Bower,Underwater Pipe Dreams,Inner Wave,Inner Wave
Juicebox,First Impressions Of Earth,The Strokes,RCA Records Label
Brooklyn Bridge To Chorus,The New Abnormal,The Strokes,Cult Records/RCA Records
Tighten Up,Brothers,The Black Keys,Nonesuch
Killing Lies,First Impressions Of Earth,The Strokes,RCA Records Label
One Way Trigger,Comedown Machine,The Strokes,RCA Records Label
Gratisfaction,Angles,The Strokes,RCA Records Label
What Ever Happened?,Room On Fire,The Strokes,RCA Records Label
The Internet of Love (That Way),Sex & Food,Unknown Mortal Orchestra,Jagjaguwar
Tap Out,Comedown Machine,The Strokes,RCA Records Label
Is This It,Is This It,The Strokes,RCA Records Label
Call Me Back,Angles,The Strokes,RCA Records Label
Animal,Party Favors,Sir Chloe,Terrible Records
Beachboy,Beachboy,McCafferty,Monkey Boy Records
Burning Pile,O My Heart,Mother Mother,Last Gang
Baby Hotline,Baby Hotline / Tea Errors,Jack Stauber's Micropop,Plopscotch Records
Barely Legal,Is This It,The Strokes,RCA Records Label
Seven Nation Army,Elephant,The White Stripes,Legacy Recordings
Under Control,Room On Fire,The Strokes,RCA Records Label
Razorblade,First Impressions Of Earth,The Strokes,RCA Records Label
New Slang - 2021 Remaster,"Oh, Inverted World (20th Anniversary Remaster)",The Shins,Sub Pop Records
Me and My Husband,Be the Cowboy,Mitski,Dead Oceans
Molly,Tighter,Mindless Self Indulgence,The End Records
money machine,1000 gecs,100 gecs;Laura Les;Dylan Brady,Dog Show Records
Romantic Lover,Let's Skip to the Wedding,Eyedress,Lex Records
Crybaby,Make Room,Destroy Boys,DesBoys Music
Tongues,Tongues / Puppy Knuckles,The Frights,Postmark Records
Just What I Needed,The Cars,The Cars,Elektra Records
"Night Fever - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,UME - Global Clearing House
Play That Funky Music,Wild Cherry,Wild Cherry,Epic
5 a.m.,Begin,The Millennium,Legacy Recordings
Khala My Friend,Africa,Amanaz,Now Again Records
Modern Love - 2018 Remaster,Let's Dance (2018 Remaster),David Bowie,Parlophone UK
Shut Up and Let Me Go,We Started Nothing,The Ting Tings,Columbia
If You Wanna,What Did You Expect from The Vaccines?,The Vaccines,Columbia
Are You Gonna Be My Girl,Get Born,Jet,BMG Rights Management (US) LLC
Wreckin' Bar (Ra Ra Ra),What Did You Expect from The Vaccines?,The Vaccines,Columbia
I Can't Quit,Combat Sports,The Vaccines,Columbia
Gold on the Ceiling,El Camino,The Black Keys,Nonesuch
Warned You,Shawcross,Good Morning,Virgin Music Label And Artist Services Australia (P&D)
Here's to the Afterlife,Me Oh My Mirror,Current Joys,Current Joys
Weekend Wars,Oracular Spectacular,MGMT,Red Ink/Columbia
Elephant,Lonerism,Tame Impala,Modular
The Love Club,Pure Heroine (Extended),Lorde,Universal Music New Zealand Limited
Classic (feat. POWERS),55,The Knocks;POWERS,Big Beat/Neon Gold
Darling,In Mind,Real Estate,Domino Recording Co
Mood Ring,Mood Ring,Lorde,Universal Music New Zealand Limited
Dreaming of You,The Coral,The Coral,Sony Music CG
Don't Look Back into the Sun,Don't Look Back into the Sun,The Libertines,Rough Trade
Here It Goes Again,Oh No,OK Go,Capitol Records
Beverly Hills,Make Believe,Weezer,Geffen
Buddy Holly,Weezer,Weezer,DGC
Heart-Shaped Box,In Utero (Deluxe Edition),Nirvana,Geffen
Great DJ,We Started Nothing,The Ting Tings,Columbia
Blind Passenger,Jazzhound,The Buttertones,The Buttertones
Reptilians,Reptilians (10-Year Anniversary Edition),STRFKR,Polyvinyl Records
When You Die,Little Dark Age,MGMT,Columbia
"Yes Sir, I Can Boogie","Yes Sir, I Can Boogie",The Fratellis,Cooking Vinyl Limited
Drag Queen,Future Present Past,The Strokes,Cult Records
Tom's Diner,Tom's Album,Suzanne Vega;DNA,A&M
Dangerous (feat. Joywave),2,Big Data;Joywave,Warner Records
Halah,She Hangs Brightly,Mazzy Star,Capitol Records
Beige,Goodpain,Yoke Lore,Big Indie Records
Say It Ain't So - Original Mix,Weezer,Weezer,DGC
Ghosting,O My Heart,Mother Mother,Last Gang
Natalie,Pain / Ache / Loving,HUNNY,Epitaph
Two Time,Inchman / Two Time,Jack Stauber's Micropop,Plopscotch Records
Golden Slumbers (Bonus Track),Theater Kid / / Probably,Ritt Momney,Ritt Momney
Kahlil Gibran,Miracle Mile,STRFKR,Polyvinyl Records
Fool,Next Thing,Frankie Cosmos,Bayonet Records
Wraith Pinned to the Mist and Other Games,The Sunlandic Twins,of Montreal,Polyvinyl Records
Do You Love Me Still?,Inside In / Inside Out,The Kooks,Virgin Records
Shuggie,We Are the 21st Century Ambassadors of Peace & Magic,Foxygen,Jagjaguwar
Downtown,"""Turns Out"" b/w ""Downtown""",Varsity,DistroKid.com
Party Police,Alvvays,Alvvays,Royal Mountain Records
My Spotless Mind,2013,Current Joys,Current Joys
No Bullets Spent,No Bullets Spent,Spoon,Matador
The Partisan,Covers,Julien Chang,Transgressive
Inside Out,They Want My Soul,Spoon,Loma Vista
Crazy For Your Love,Crazy For Your Love,JAWNY,Johnny Utah LLC
Morphine,Morphine,The Ninjas,Independent
Bittersweet,Bittersweet,Greer,Epitaph
Hey Lover!,Cyclones and Hey Lover,Wabie,Wabie Records
Blonde Blood,Goose Bumps,Boyscott,Topshelf Records
You and Me - Demo,Light Upon the Lake: Demo Recordings,Whitney,Secretly Canadian
Jerk,Jerk At The End Of The Line,Only Real,EMI
Saturnine,Curve Of The Earth,Mystery Jets,Mystery Jets Records
Laid,Laid,James,EMI
Cathy Come Home,The Loved Ones,Flyte,Universal-Island Records Ltd.
Could You Be Loved,Uprising,Bob Marley & The Wailers,Island Records
Want You So Bad,English Graffiti (Expanded Edition),The Vaccines,Columbia
"Sweet Dreams, TN",Everything You've Come To Expect (Deluxe Edition),The Last Shadow Puppets,Domino Recording Co
Sleep Apnea,Clash the Truth,Beach Fossils,Bayonet Records
Younger,He Seems Upset,The Hails,The Hails
A Button on Your Blouse,Drowners,Drowners,Frenchkiss Records
Total Zombie,Headcase,Day Wave,Day Wave
Moving Out,Changes,Vacations,Nettwerk Records
Good Times,Beacon,Matt Duncan,HOP HOP
あこがれ,A Long Day,mitsume,mitsume
Treat Ya Better,Mimosa Hygiene,The Criticals,The Criticals
Sunflower Seeds,Silver Dollar Moment,The Orielles,Heavenly Recordings
Toy Plane,Toy Plane,Who Boy,VHS Country
Drought,Drought,Carpool Tunnel,Sound B Studios
Freaking Out The Neighborhood,2,Mac DeMarco,Spunk
Shampoo Bottles,You and Your Friends,Peach Pit,Columbia
Swim and Sleep (Like a Shark),II,Unknown Mortal Orchestra,Jagjaguwar
Tu M'as Trop Menti,The French Dispatch (Original Soundtrack),Chantal Goya,"ABKCO Music & Records, Inc."
Violent,Violent,carolesdaughter,Arista Records
PPP,Depression Cherry,Beach House,Sub Pop Records
Once Twice Melody,Once Twice Melody,Beach House,Sub Pop Records
San Francisco,We Are the 21st Century Ambassadors of Peace & Magic,Foxygen,Jagjaguwar
Baba O'Riley,Who's Next (Deluxe Edition),The Who,Universal Music Group
Solsbury Hill,Peter Gabriel 1: Car (Remastered Version),Peter Gabriel,Real World Productions
Pepas,Pepas,Farruko,Sony Music Latin
Curazao,Curazao,El Alfa;Farruko;Chael Produciendo,El Jefe Records
MINE,MINE,awfultune,awfultune
Linda,I don't run,Hinds,Sony Music Entertainment (Japan) Inc.
Card Declined for Pizza & Wine,Mystery Flavor,Stevie Dinner,Skeleton Realm Records
Across The Universe - Remastered 2009,Let It Be (Remastered),The Beatles,EMI Catalogue
Norwegian Wood (This Bird Has Flown) - Remastered,Rubber Soul (Remastered),The Beatles,EMI Catalogue
Bike Dream,Half-Light,Rostam,Nonesuch
Rolling On,Young Blindness,The Murlocs,Flightless Records
Nowhere Man - Remastered,Rubber Soul (Remastered),The Beatles,EMI Catalogue
Candy Wrappers,So Polite,Summer Salt,Cherry Lime Records
Seventeen,Memory Palace,Stone Cold Fox,Stone Cold Fox Music
Witches,Witches,Alice Phoebe Lou,Alice Phoebe Lou
I Dreamt I Saw You In A Dream,Sunbeam Sound Machine,Sunbeam Sound Machine,Dot Dash Recordings
Chalet 47,What's Inside is More Than Just Ham,FEET,Clapped Records
How Was Your Day?,Jazzie Robinson Deluxe,Mellow Fellow;Clairo,Lirico / Inpartmaint
Dedicated To The One I Love,Deliver,The Mamas & The Papas,Geffen
Riot!,Some Rap Songs,Earl Sweatshirt,Tan Cressida/Columbia
Bonehead's Bank Holiday - Remastered,(What's The Story) Morning Glory? [Remastered],Oasis,Big Brother
"William, It Was Really Nothing - 2011 Remaster",Hatful of Hollow,The Smiths,WM UK
Anna (Go To Him) - Remastered 2009,Please Please Me (Remastered),The Beatles,EMI Catalogue
Staroye Kino,Russian Tour 5,Peremotka,iMD-BelkaRecords
Take Me Out,Franz Ferdinand,Franz Ferdinand,Domino Recording Co
Aubrey,"We're Drifting Further Apart, Aren't We?",Sonic Blume,Shore Points Records
Staring at the Sun,Staring at the Sun,Insomnia Beach Club,Insomnia Beach Club
Boy,Like New,Purr,Anti/Epitaph
Outer Space,Window Flowers,Liz Cooper,Sleepyhead Records
For Emma,"For Emma, Forever Ago",Bon Iver,Jagjaguwar
Serotonin,Captain,Fog Lake,Stack Your Roster
Scream & Shout,#willpower,will.i.am;Britney Spears,Interscope
Set to Attack,Francis Trouble,Albert Hammond Jr,Red Bull Records
11th Dimension,Phrazes For The Young,Julian Casablancas,RCA Records Label
Lotus Eater,Sacred Hearts Club,Foster The People,Columbia
St. Justice,AHJ,Albert Hammond Jr,Trouble Productions
Little Girl In Bloom,Vagabonds Of The Western World,Thin Lizzy,Decca Music Group Ltd.
Fast Times,Fast Times,Albert Hammond Jr,Red Bull Records
Miracle Aligner,Everything You've Come To Expect (Deluxe Edition),The Last Shadow Puppets,Domino Recording Co
Happiness Is A Warm Gun - Remastered 2009,The Beatles (Remastered),The Beatles,EMI Catalogue
Kaya,Kaya,Bob Marley & The Wailers,Island Records
Is This Love,Kaya,Bob Marley & The Wailers,Island Records
I'm Just Snacking,I'm Just Snacking,Gus Dapperton,Gus Dapperton
Read My Mind,Sam's Town,The Killers,Island Records
"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",Live From Electric Lady Studios/WRXP New York,Julian Casablancas,RCA Records Label
Lovely Day,Menagerie,Bill Withers,Columbia/Legacy
TV Queen,Life of Pause,Wild Nothing,Captured Tracks
Nina,Jinx,Crumb,Crumb Records
Ting-A-Ling,X-Tra Naked,Shabba Ranks,Epic
Sheebeen Queen,Christophe Lemaire And Now-Again Present: Where Are You From?,Rikki Ililonga,Now Again Records
Baby,Pink is the Colour of Unconditional Love,Gabriella Cohen,Captured Tracks
Frangelico Dreams,Frangelico Dreams,Gabriella Cohen,Independent
Just For The Summer,Just for The Summer,Gabriella Cohen,Independent
Fall Down,Jinx,Crumb,Crumb Records
Part III,Jinx,Crumb,Crumb Records
Recently Played,Locket,Crumb,Crumb Records
Reel Around the Fountain - 2011 Remaster,The Smiths,The Smiths,WM UK
Wildside,Music For The People,Marky Mark And The Funky Bunch,Interscope
Right Down the Line,City to City,Gerry Rafferty,Parlophone UK
Dear Angie - Remastered 2010,Magic Christian Music (Remastered 2010 / Deluxe Edition),Badfinger,EMI Catalogue
Jacqueline,Franz Ferdinand,Franz Ferdinand,Domino Recording Co
Ode To The Mets,The New Abnormal,The Strokes,Cult Records/RCA Records
Automatic Stop,Room On Fire,The Strokes,RCA Records Label
12:51,Room On Fire,The Strokes,RCA Records Label
Meet Me in the Bathroom,Room On Fire,The Strokes,RCA Records Label
Take It Or Leave It,Is This It,The Strokes,RCA Records Label
The End Has No End,Room On Fire,The Strokes,RCA Records Label
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,Cage The Elephant,Relentless/Virgin
"Whiskeyclone, Hotel City 1997",Mellow Gold,Beck,DGC
Baby,What Will We Be (Standard),Devendra Banhart,Warner Records
Not The Same Anymore,The New Abnormal,The Strokes,Cult Records/RCA Records
Hard To Explain,Is This It,The Strokes,RCA Records Label
You Only Live Once,First Impressions Of Earth,The Strokes,RCA Records Label
Ones Who Love You,Alvvays,Alvvays,Polyvinyl Records
Balloon,Ice Melt,Crumb,Crumb Records
"11th Dimension - Live From Electric Lady Studios for WRXP, New York",Live From Electric Lady Studios/WRXP New York,Julian Casablancas,RCA Records Label
Wink,Virtue,The Voidz,RCA Records Label
Cherry-coloured Funk,Heaven or Las Vegas,Cocteau Twins,4AD
Elegy to the Void,Thank Your Lucky Stars,Beach House,Sub Pop Records
Where No Eagles Fly,Tyranny,The Voidz,Cult Records
Out of the Blue,Phrazes For The Young,Julian Casablancas,RCA Records Label
Never as Tired as When I'm Waking Up,LCD Soundsystem,LCD Soundsystem,Parlophone UK
Hold On - Remastered 2010,Plastic Ono Band,John Lennon,EMI Catalogue
Weird Honey,Holo Pleasures / California Dreamin',Elvis Depressedly,Run For Cover Records
Always Like This,I Had The Blues But I Shook Them Loose,Bombay Bicycle Club,Universal-Island Records Ltd.
If We Wait,Sunfish Holy Breakfast,Guided By Voices,Matador
Taken for a Fool,Angles,The Strokes,RCA Records Label
Welcome To Japan,Comedown Machine,The Strokes,RCA Records Label
LDN,"Alright, Still (Bonus Track Version)",Lily Allen,Parlophone UK
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris;Pharrell Williams;Katy Perry;Big Sean;Funk Wav,Columbia
Lush Life,So Good,Zara Larsson,Epic/Record Company TEN
Rather Be (feat. Jess Glynne),New Eyes,Clean Bandit;Jess Glynne,Big Beat Records/Atlantic
No Love Lost - 2010 Remaster,Substance,Joy Division,Rhino
All I Wanna Do,Comfort,Splashh,EMI
If You Could Know,Onion,Shannon & The Clams,Easy Eye Sound
Love Me Harder,My Everything (Deluxe),Ariana Grande;The Weeknd,Universal Records
Where the Sun Sets,Here We Are,Mars Water,Mars Water
Magnitude,Hot Hot Heat,Hot Hot Heat,Kaw-Liga Records
Wild Horses,Hot Rocks 1964-1971,The Rolling Stones,"ABKCO Music and Records, Inc."
Eyes Without A Face,Rebel Yell,Billy Idol,CAPITOL CATALOG MKT (C92)
Love You So,The King Khan & BBQ Show,The King Khan & BBQ Show,In The Red
Flim,Come To Daddy,Aphex Twin,Warp Records
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,PTKF
We Should Hang,People and Their Dogs,Willie J Healey,National Anthem / Columbia
Mold Baby (& The Queen Midas),The So So Glos,The So So Glos,Votiv Music
Will You Find Me,Lizard Boy,Jesse Davidson,Create Control
Oh! You Pretty Things - 2015 Remaster,Hunky Dory (2015 Remaster),David Bowie,Parlophone UK
Life in Outer Space,Life in Outer Space,Elephant Castle,TYSM Records
Lonely Type,Are You OK?,Wasuremono,The Wilderness Records
I Didn't Know,Filoxiny,Skinshape,Lewis Recordings
Nirvana Mañana,Toon Time Raw!,Jerry Paper,Bayonet Records
Beechwood Park,Odessey & Oracle_ 30th Anniversary Edition,The Zombies,Revolver Records
Sun Moth,Zirconium Meconium,Fever the Ghost,Complicated Game
Coffee & TV,13,Blur,Parlophone UK
How Soon Is Now? - 2011 Remaster,Hatful of Hollow,The Smiths,WM UK
April,Honeymoon,Beach Bunny,Mom+Pop
Plimsoll Punks,Antisocialites,Alvvays,Polyvinyl Records
Silly Boy,Man Up,The Blue Van,Iceberg Records
Trouble,Luces Del Sur,Wait. Think. Fast.,Wait. Think. Fast.
The End,Crazy For You,Best Coast,Mexican Summer
I Cannot Love You,12 Desperate Straight Lines,Telekinesis,Merge Records
Wait for Me,Motopony,Motopony,Motopony LLC
Anne With An E,Belong,The Pains Of Being Pure At Heart,Collective Sounds
Lost In The Light,Barchords,Bahamas,Brushfire Records/Universal
Til The Morning,Pink Strat,Bahamas,Brushfire Records/Universal
Lady Luck,Ground Trouble Jaw EP,Richard Swift,Secretly Canadian
IN DECAY,Phèdre,Phèdre,Daps Records
Turns Around the Bottle,Barna Howard,Barna Howard,Mama Bird Recording Co.
Cayucos,Cayucos b/w Swimsuit,Cayucas,Secretly Canadian
1 4 2,Sun Transmission,Inner Wave,Inner Wave
Instant Crush - Unpeeled,Unpeeled,Cage The Elephant,RCA Records Label
Time Being,A V,Surface To Air Missive,Leaving Records
Easy,Back to the City,Gringo Star,Nevado
Post Breakup Stoner,The Intergalactic Guide to Find the Red Cowboy,Sunflowers,Cão da Garagem
GIRL AT THE BUS STOP,TAKE CARE,Siamese Cats,P-VINE RECORDS
Silver Line,A Distant Call,Sheer Mag,Sheer Mag LLC
Makeout Point,Fur Sure - EP,The Frights,Postmark Records
Daydream / Wetdream / Nightmare,Voyeur,Saint Motel,OnThe Records
Let It Happen,Currents,Tame Impala,Universal Music Australia Pty. Ltd.
Window,Free The Birds,Free The Birds,Free The Birds
Hand It Over,Little Dark Age,MGMT,Columbia
Australia,Wincing the Night Away,The Shins,Sub Pop Records
Weird Fishes/ Arpeggi,In Rainbows,Radiohead,XL Recordings
The Skin Of My Yellow Country Teeth,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah
I Was Born (A Unicorn),Who Will Cut Our Hair When We're Gone? (Remastered),The Unicorns,Caterpillar
Permanent High School,Virtue,The Voidz,RCA Records Label
Pink Ocean,Virtue,The Voidz,RCA Records Label
Home (Pt. 1 & 2),Me Oh My Mirror,Current Joys,Current Joys
Ramona,Velociraptor,Velociraptor,Dot Dash Recordings
Curse Your Fail,Curse Your Fail,Broken Social Scene;Sebastien Grainger,Arts & Crafts Productions Inc.
Our Park By Night,Our Park By Night,Craft Spells,Captured Tracks
Different Now,I Used to Spend So Much Time Alone,Chastity Belt,Hardly Art
Diving Woman,Soft Sounds from Another Planet,Japanese Breakfast,Dead Oceans
Cut Your Bangs,Torch Song,Radiator Hospital,Salinas Records
The Bay,The English Riviera,Metronomy,Because Music Ltd.
The Reeling,Manners,Passion Pit,Columbia
Disorder - 2007 Remaster,Unknown Pleasures (Collector's Edition),Joy Division,London Records
Shut Up Kiss Me,MY WOMAN,Angel Olsen,Jagjaguwar
In the City,Anika,Anika,Stones Throw Records
Problems III,Casual Acquaintances,The Growlers,The Growlers Records
No One There,Sad Eyes Happy Feet,Exhibition;Julian Casablancas,Rynsan Shillong Records
Don't Come Home Today,Shawcross,Good Morning,Virgin Music Label And Artist Services Australia (P&D)
I Always Knew,Come Of Age,The Vaccines,Columbia
Agoraphobia,Microcastle,Deerhunter,kranky
Californication,Californication (Deluxe Edition),Red Hot Chili Peppers,Warner Records
In Transit,Yours to Keep,Albert Hammond Jr,Trouble Productions
Whole Wide World,Wreckless Eric,Wreckless Eric,Stiff Records
Redwood Reverie,Latch Relay,Plas Teg,959536 Records DK
Communication,Communication b/w Parallel,Disq,Saddle Creek
Cannonball,Threesome,Baby Boys,Grand Jury Music
Zapateo,Guitar Music From Cuba,Leo Brouwer;Marco Tamayo,Naxos
Phone Calls,Spoonfed,Hala,Hala Recordings
All The Time,Comedown Machine,The Strokes,RCA Records Label
Gronlandic Edit,"Hissing Fauna, Are You The Destroyer?",of Montreal,Polyvinyl Records
Bad Bliss,Portal,Lalić,Lalić
Doghouse,Sandman (Deluxe Edition),Trudy and the Romance,B3SCI Records
Different State of Mind,Different State of Mind,Kid Bloom,Position Music
Pulp,Basement Seance,Dirty Art Club,Dirty Art Club
Pulp,Pulp,Lime Garden,So Young Records
Stop and Go,Francis Trouble,Albert Hammond Jr,Red Bull Records
Shirim,Bon Voyage,Melody's Echo Chamber,Fat Possum
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles (Remastered),The Beatles,EMI Catalogue
Parking Lots,Jen,Plums,Forged Artifacts
Something Wild,Something Wild,Radiator Hospital,Salinas Records
Flathead,Costello Music,The Fratellis,Interscope
La guerra dei baci,Uomo Donna,Andrea Laszlo De Simone,Universal Music Division Virgin Music Distribution Deal
Peace on the Rise,Diaper Island,Chad VanGaalen,Sub Pop Records
(You're Better) Than Ever,Kiss Yr Frenemies,illuminati hotties,Tiny Engines
If You Didn't See Me (Then You Weren't on the Dancefloor),The Speed of Things,JR JR,Warner Records
Under Cover of Darkness,Angles,The Strokes,RCA Records Label
Creeps,The Great Pretenders,Mini Mansions,Electro Magnetic Corporation
Blood,Grapetooth,Grapetooth,Polyvinyl Records
Acolyte,Birdie,"Slaughter Beach, Dog",Lame-O Records
Slow Dance II,SLUFF,Naked Giants,New West Records
Bathroom Song,Neapolitan,Hot Flash Heat Wave,Hot Flash Heat Wave
I'm Sorry We Lied,Coastal Grooves,Blood Orange,Domino Recording Co
Shake,Sebastian,Yeek,"Yeek, Inc."
Sober,Kauai,Childish Gambino,Glassnote Entertainment Group LLC
Million Voices - Radio Edit,Million Voices,Otto Knows,Universal Music AB Distributed Labels
Good Looking,Good Looking,Suki Waterhouse,This Rough Magic
On An Evening In Roma,The Capitol Years,Dean Martin,CAPITOL CATALOG MKT (C92)
Loretta,Loretta,Ginger Root,Acrophase Records
Eight Days A Week - Remastered 2009,Beatles For Sale (Remastered),The Beatles,EMI Catalogue
Before the World Was Big,Before the World Was Big,Girlpool,Wichita Recordings
Don't Look Back,Golden Hour,The Grinns,Too Blue Records
Birch Tree,Taking My Time to Be,Strawberry Guy,Melodic
Mystery,Apoptosis,Inner Wave,Inner Wave
Treasure,All's Alright,Plastic Pinks,Ghost Drag Records
Something New,Today,Babe Rainbow,Eureka Music
Love of Mine,Love of Mine,Bardo,Yemayá Sol Records
Little Queenie,Vol. Three: The Hand That Did the Deed,SadGirl,Hard Feelings Records
Holding Out For You,Man It Feels Like Space Again,Pond,EMI Recorded Music Australia Pty Ltd
Drinkee,Drinkee,Sofi Tukker,"Sofi Tukker, LLC"
POWERFUL LOVE,Songs from the Sunroom,Field Medic,Run For Cover Records
Wash It All Away,Gracetown,San Cisco,Island City Records
Drunk Drivers/Killer Whales,Teens Of Denial,Car Seat Headrest,Matador
Naked,Naked,Bickle,Big Bad Hawk
Call The Dogs Out,Mirror Might Steal Your Charm,The Garden,Epitaph
It Just Comes and Goes,Delirium B-Sides,Old Man Canyon,Old Man Canyon
Creature,Kaiju,It Looks Sad.,Sky Lake Publishing
Yellow Flowers,Like an Animal,Alfie Templeman,Chess Club
Purple Hat,Purple Hat,Sofi Tukker,Ultra Records
Swim Naked,Falling,Betcha,Atlantic Records
Fantasy - feat. Ruckazoid,By Your Side,Breakbot,Because Music/Sire Records
Mexico,After the Gold Rush Party,Husbands,Cowboy 2.0
Weather,Weather,Ginger Root,Acrophase Records
Obsession,Dream Of Reason,The Cairos,Universal Music Australia Pty. Ltd.
Cinnamon,Dry Food,Palehound,Exploding In Sound Records
Sleepwalking (Couples Only Dance Prom Night),Interstate 8,Modest Mouse,Glacial Pace Recordings
Wilder Than Me,Lesson in Tenderness,Fletcher C Johnson,Cocomo Records
Impressions of You,Strike Gently,The Virgins,Cult Records
Best I Can (feat. Sharon Van Etten),Best I Can (feat. Sharon Van Etten),Michael Cera;Sharon Van Etten,Michael Cera
Wake,Azur,Triptides,Requiem pour un Twister
Dreamin',Get to Know Lonesome,Skinny Dyck,JBK Records
Corrine,Black Honey (Deluxe),Black Honey,Foxfive Records
Just Like Tropica-L,Bad Pop,Soft Powers,Non Records Bv
Late Night Talking,Harry's House,Harry Styles,Columbia
Under Pressure,Hot Space,Queen;David Bowie,Hollywood Records
New Light,Sob Rock,John Mayer,Columbia
Cupid,Belladonna of Sadness,Alexandra Savior,Columbia
Trigger Of Love,For Abby,JAWNY,Johnny Utah LLC
disco tits,BLUE LIPS (lady wood phase II),Tove Lo,Universal Music AB
Tried And True,Quebec,Ween,Chocodog Records
